0.192045	1	1	0	0
0.192045	1	1	0	0
0.764231	2	1	0	0
0.764231	2	1	0	0
0.764231	2	1	0	0
0.86665	3	1	0	0
0.86665	3	1	0	0
0.944341	4	1	0	0
1.08184	4	1	1	0
1.08184	4	1	1	0
1.30048	5	1	1	0
1.30048	5	1	1	0
1.30048	5	1	1	0
1.38238	6	1	1	0
1.57781	7	1	1	0
1.57781	7	1	1	0
1.57781	7	1	1	0
2.25545	9	1	1	0
2.25545	9	1	1	0
2.25545	9	1	1	0
2.28785	8	1	1	0
2.44768	9	1	1	0
2.44768	9	1	1	0
2.65633	9	2	1	0
2.65633	9	2	1	0
2.65633	9	2	1	0
2.721	8	2	1	0
2.96477	7	2	1	0
2.96477	7	2	1	0
2.96477	7	2	1	0
3.62066	8	2	1	0
3.62066	8	2	1	0
